Date,Load forecast,Generation forecast,Price
2017-01-18 02:00:00+01:00,78550.0,76557.0,65.99
2017-01-18 03:00:00+01:00,75950.0,75807.0,60.7
2017-01-18 04:00:00+01:00,74900.0,75773.0,57.29
2017-01-18 05:00:00+01:00,76750.0,77113.0,65.99
2017-01-18 06:00:00+01:00,82150.0,82648.0,91.83
2017-01-18 07:00:00+01:00,88850.0,86582.0,120.0
2017-01-18 08:00:00+01:00,91750.0,89398.0,121.97
2017-01-18 09:00:00+01:00,91950.0,90985.0,120.0
2017-01-18 10:00:00+01:00,91500.0,90036.0,111.75
2017-01-18 11:00:00+01:00,90450.0,89983.0,98.42
2017-01-18 12:00:00+01:00,89250.0,87760.0,95.89
2017-01-18 13:00:00+01:00,88300.0,86333.0,91.02
2017-01-18 14:00:00+01:00,86150.0,85077.0,89.92
2017-01-18 15:00:00+01:00,83450.0,84168.0,86.7
2017-01-18 16:00:00+01:00,82350.0,84346.0,92.45
2017-01-18 17:00:00+01:00,84550.0,87015.0,116.87
2017-01-18 18:00:00+01:00,89950.0,90940.0,130.0
2017-01-18 19:00:00+01:00,92350.0,90667.0,117.26
2017-01-18 20:00:00+01:00,88750.0,86267.0,98.66
2017-01-18 21:00:00+01:00,84450.0,83288.0,92.01
2017-01-18 22:00:00+01:00,82300.0,83045.0,94.99
2017-01-18 23:00:00+01:00,85400.0,82403.0,94.6
2017-01-19 00:00:00+01:00,83500.0,81484.0,80.27
2017-01-19 01:00:00+01:00,81300.0,79600.0,74.6
2017-01-19 02:00:00+01:00,80950.0,78478.0,74.07
2017-01-19 03:00:00+01:00,78300.0,77611.0,68.8
2017-01-19 04:00:00+01:00,76900.0,77387.0,67.35
2017-01-19 05:00:00+01:00,78700.0,78728.0,72.35
2017-01-19 06:00:00+01:00,84350.0,83745.0,90.78
2017-01-19 07:00:00+01:00,91850.0,88443.0,103.0
2017-01-19 08:00:00+01:00,95050.0,89975.0,119.1
2017-01-19 09:00:00+01:00,94350.0,89804.0,109.03
2017-01-19 10:00:00+01:00,93450.0,88719.0,94.0
2017-01-19 11:00:00+01:00,92450.0,88466.0,93.88
2017-01-19 12:00:00+01:00,91050.0,87439.0,93.0
2017-01-19 13:00:00+01:00,89750.0,86477.0,92.73
2017-01-19 14:00:00+01:00,86850.0,85069.0,94.01
2017-01-19 15:00:00+01:00,83800.0,83350.0,92.0
2017-01-19 16:00:00+01:00,82600.0,83458.0,91.03
