Date,MAE,SMAPE (%)
2022-04-16,53.634077,35.783426
2022-04-17,58.928054,57.002488
2022-04-18,50.348133,37.968059
2022-04-19,69.764134,37.198246
2022-04-20,21.381627,10.250095
2022-04-21,18.104934,8.750263
2022-04-22,14.193332,7.076092
2022-04-23,30.767138,18.033803
2022-04-24,32.642581,21.40112
2022-04-25,61.444262,30.30419
2022-04-26,31.031392,13.115204
2022-04-27,24.047104,10.731117
2022-04-28,25.372983,10.834278
2022-04-29,23.879138,10.35529
2022-04-30,25.751658,12.580591
2022-05-01,26.759721,13.742015
2022-05-02,26.850093,12.222199
2022-05-03,24.527752,11.016369
2022-05-04,26.101045,11.051698
2022-05-05,19.296547,8.169237
2022-05-06,22.392101,9.89625
2022-05-07,24.838533,12.136645
2022-05-08,39.512673,22.954054
2022-05-09,32.386453,15.070157
2022-05-10,19.045045,9.261086
2022-05-11,24.807357,12.952484
2022-05-12,25.979691,13.183603
2022-05-13,20.484114,10.146307
2022-05-14,29.966053,16.182506
2022-05-15,56.304905,41.087488
2022-05-16,58.559556,29.202644
2022-05-17,30.962649,13.550765
2022-05-18,25.007713,11.661362
2022-05-19,23.140726,10.669527
2022-05-20,19.012391,9.162921
2022-05-21,26.986427,14.49329
2022-05-22,34.809577,20.907987
2022-05-23,22.649151,11.983246
2022-05-24,19.334235,10.601018
2022-05-25,18.023094,9.357377
2022-05-26,25.467422,14.888833
2022-05-27,15.894734,9.841673
2022-05-28,14.949866,9.810733
2022-05-29,29.107094,17.611537
2022-05-30,55.838944,27.249072
2022-05-31,22.256722,10.44831
2022-06-01,23.552242,10.940627
2022-06-02,25.397822,13.022406
2022-06-03,23.876887,12.054419
2022-06-04,23.590665,13.03871
2022-06-05,31.376833,19.337772
2022-06-06,34.027284,23.265347
2022-06-07,30.516621,16.624407
2022-06-08,16.154092,8.502309
2022-06-09,17.184105,9.284359
2022-06-10,17.541004,9.061471
2022-06-11,17.902798,9.738285
2022-06-12,44.642308,30.861579
2022-06-13,43.942303,23.223237
2022-06-14,27.830386,13.383165
2022-06-15,41.774684,18.352733
2022-06-16,50.232872,19.106967
2022-06-17,51.617842,17.812824
2022-06-18,35.204315,12.894696
2022-06-19,102.93915,53.359859
2022-06-20,97.247302,36.200751
2022-06-21,94.64985,28.72554
2022-06-22,77.307367,21.201109
2022-06-23,34.157735,10.073399
2022-06-24,53.15767,17.07422
2022-06-25,41.808422,15.525194
2022-06-26,50.15168,19.842484
2022-06-27,74.090348,23.994848
2022-06-28,64.550857,18.337019
2022-06-29,24.249344,7.298889
2022-06-30,45.58362,12.747526
